country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",11-07-2026 14:00,16.486692,80.699436,NH3,4,7,4
India,Andhra Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",11-07-2026 14:00,16.486692,80.699436,SO2,10,23,14
India,Andhra Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",11-07-2026 14:00,16.554731,80.64911,NH3,3,4,3
India,Andhra Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",11-07-2026 14:00,16.554731,80.64911,OZONE,22,28,25
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",11-07-2026 14:00,26.446912,91.439057,PM2.5,25,134,61
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",11-07-2026 14:00,26.446912,91.439057,PM10,19,86,44
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",11-07-2026 14:00,26.446912,91.439057,CO,20,22,21
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",11-07-2026 14:00,26.987634,94.636574,PM2.5,15,17,16
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",11-07-2026 14:00,26.987634,94.636574,PM10,20,22,21
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",11-07-2026 14:00,26.146529,87.454184,NH3,4,5,5
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",11-07-2026 14:00,25.5626095,84.663264,PM10,23,500,194
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",11-07-2026 14:00,24.75746,84.366208,SO2,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",11-07-2026 14:00,24.75746,84.366208,CO,102,103,102
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",11-07-2026 14:00,24.75746,84.366208,OZONE,6,7,7
